PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	y	x
Ulster	Antrim	Antrim	2645	179	24	13.4	85	164	54.71363	-6.21428
Ulster	Antrim	Ballymena	5549	141	54	38.3	106	142	54.86538	-6.28038
Ulster	Antrim	Belfast	63625	2705	969	35.8	1	374	54.597285	-5.93012
Ulster	Antrim	Carrickfergus	9379	0	0	0	0	0	54.71373	-5.80818
Ulster	Antrim	Larne	3345	0	0	0	0	0	54.8575	-5.80986
Ulster	Antrim	Lisburn	7524	565	196	34.6	52	206	54.50972	-6.0374
Ulster	Armagh	Armagh	10245	154	73	4.74	86	150	54.34875	-6.65161
Ulster	Armagh	Lurgan	4677	369	116	31.4	115	278	54.4648	-6.33602
Ulster	Armagh	Newry	13227	139	62	44.6	78	218	54.18006	-6.33393
Ulster	Armagh	Portadown	2505	42	20	47.3	57	269	54.42193	-6.45129
Leinster	Carlow	Bagnalstown	2225	39	22	56.3	257	481	52.703111	-6.955868
Leinster	Carlow	Carlow	10409	333	167	50.1	226	290	52.718975	-6.85037
Leinster	Carlow	Tullow	3097	0	0	0	0	0	52.802547	-6.737152
Ulster	Cavan	Belturbet	2070	0	0	0	0	0	54.101906	-7.449668
Ulster	Cavan	Cavan	3749	0	0	0	0	0	53.990605	-7.362941
Ulster	Cavan	Cootehill	2425	0	0	0	0	0	54.07373	-7.075739
Munster	Clare	Ennis	9318	144	53	36.8	103	127	52.847425	-8.988738
Munster	Clare	Ennistymon	2089	138	73	52.9	119	174	52.940372	-9.293495
Munster	Clare	Killaloe	2783	33	23	69.7	107	151	52.808886	-8.447515
Munster	Clare	Kilrush	5071	263	113	42.9	96	160	52.6407	-9.485937
Munster	Cork	Bandon	8275	361	159	44	163	271	51.746124	-8.731817
Munster	Cork	Bantry	4082	185	82	54.3	175	263	51.680892	-9.448603
Munster	Cork	Charleville	4287	40	19	47.5	103	149	52.354908	-8.683177
Munster	Cork	Clonakilty	3993	0	0	0	0	0	51.621506	-8.8887
Munster	Cork	Cloyne	2200	32	16	50	173	198	51.863097	-8.121237
Munster	Cork	Cork	106055	3176	1329	41.8	89	288	51.896892	-8.486316
Munster	Cork	Cove	5142	301	115	38.2	156	204	51.850336	-8.294286
Munster	Cork	Doneraile	2722	13	10	77	131	156	52.215173	-8.585977
Munster	Cork	Dunmanway	3086	0	0	0	0	0	51.722257	-9.111809
Munster	Cork	Fermoy	6379	0	0	0	0	0	52.139361	-8.275561
Munster	Cork	Kanturk	4388	2	1	50	0	0	52.177255	-8.905167
Munster	Cork	Kinsale	6918	825	447	54.1	148	202	51.70605	-8.522501
