PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	LAT	LONG	x	y
Ulster	Antrim	Antrim	2645	179	24	13.4	85	164	54.71363	-6.21428	679441.8428	6066487.162
Ulster	Antrim	Ballymena	5549	141	54	38.3	106	142	54.86538	-6.28038	674529.9789	6083199.727
Ulster	Antrim	Belfast	63625	2705	969	35.8	1	374	54.597285	-5.93012	698306.489	6054311.219
Ulster	Antrim	Carrickfergus	9379	0	0	0	0	0	54.71373	-5.80818	705591.7917	6067612.788
Ulster	Antrim	Larne	3345	0	0	0	0	0	54.8575	-5.80986	704755.502	6083597.572
Ulster	Antrim	Lisburn	7524	565	196	34.6	52	206	54.50972	-6.0374	691789.1556	6044274.506
Ulster	Armagh	Armagh	10245	154	73	4.74	86	150	54.34875	-6.65161	652632.689	6024867.226
Ulster	Armagh	Lurgan	4677	369	116	31.4	115	278	54.4648	-6.33602	672651.4913	6038504.743
Ulster	Armagh	Newry	13227	139	62	44.6	78	218	54.18006	-6.33393	673984.888	6006838.813
Ulster	Armagh	Portadown	2505	42	20	47.3	57	269	54.42193	-6.45129	665355.2063	6033459.506
Leinster	Carlow	Bagnalstown	2225	39	22	56.3	257	481	52.703111	-6.955868	638113.8456	5841205.181
Leinster	Carlow	Carlow	10409	333	167	50.1	226	290	52.718975	-6.85037	645188.3713	5843177.096
Leinster	Carlow	Tullow	3097	0	0	0	0	0	52.802547	-6.737152	652541.8236	5852705.85
Ulster	Cavan	Belturbet	2070	0	0	0	0	0	54.101906	-7.449668	601371.3372	5995970.961
Ulster	Cavan	Cavan	3749	0	0	0	0	0	53.990605	-7.362941	607328.1325	5983716.826
Ulster	Cavan	Cootehill	2425	0	0	0	0	0	54.07373	-7.075739	625904.0803	5993437.262
Munster	Clare	Ennis	9318	144	53	36.8	103	127	52.847425	-8.988738	500758.4587	5855298.095
Munster	Clare	Ennistymon	2089	138	73	52.9	119	174	52.940372	-9.293495	480276.3398	5865677.751
Munster	Clare	Killaloe	2783	33	23	69.7	107	151	52.808886	-8.447515	537240.832	5851154.051
Munster	Clare	Kilrush	5071	263	113	42.9	96	160	52.6407	-9.485937	467118.6139	5832413.413
Munster	Cork	Bandon	8275	361	159	44	163	271	51.746124	-8.731817	518514.8598	5732836.041
Munster	Cork	Bantry	4082	185	82	54.3	175	263	51.680892	-9.448603	468984.7366	5725642.342
Munster	Cork	Charleville	4287	40	19	47.5	103	149	52.354908	-8.683177	521577.6204	5800560.523
Munster	Cork	Clonakilty	3993	0	0	0	0	0	51.621506	-8.8887	507705.076	5718948.261
Munster	Cork	Cloyne	2200	32	16	50	173	198	51.863097	-8.121237	560510.8538	5746176.644
Munster	Cork	Cork	106055	3176	1329	41.8	89	288	51.896892	-8.486316	535345.5363	5749695.03
Munster	Cork	Cove	5142	301	115	38.2	156	204	51.850336	-8.294286	548608.7594	5744627.789
Munster	Cork	Doneraile	2722	13	10	77	131	156	52.215173	-8.585977	528286.3665	5785051.576
Munster	Cork	Dunmanway	3086	0	0	0	0	0	51.722257	-9.111809	492276.8404	5730153.494
Munster	Cork	Fermoy	6379	0	0	0	0	0	52.139361	-8.275561	549578.2238	5776785.984
Munster	Cork	Kanturk	4388	2	1	50	0	0	52.177255	-8.905167	506484.5914	5780757.555
Munster	Cork	Kinsale	6918	825	447	54.1	148	202	51.70605	-8.522501	532994.7503	5728452.985
Munster	Cork	Macroom	4794	77	42	54.5	129	179	51.904804	-8.958848	502831.0958	5750451.129
Munster	Cork	Mallow	6851	287	144	50.1	134	195	52.138976	-8.653916	523685.1752	5776552.178
Munster	Cork	Midleton	4591	285	146	51.2	124	362	51.913713	-8.172236	556935.1716	5751764.916
Munster	Cork	Millstreet	2162	0	0	0	0	0	52.060132	-9.064712	495563.4411	5767728.275
Munster	Cork	Mitchelstown	4181	1	0	0	147	149	52.266213	-8.269886	549824.5219	5790898.921
Munster	Cork	Skibbereen	4715	112	48	42.8	164	187	51.555924	-9.26213	481827.13	5711681.25
Munster	Cork	Youghal	9939	149	90	60.4	150	195	51.95427	-7.847171	579221.677	5756579.699
Ulster	Donegal	Ballyshannon	3513	0	0	0	0	0	54.502988	-8.192042	552320.2165	6039787.045
Ulster	Donegal	Letterkenny	2161	0	0	0	0	0	54.955839	-7.734279	581052.9753	6090610.263
Ulster	Down	Banbridge	3324	0	0	0	0	0	54.34897	-6.26978	677443.0343	6025785.811
Ulster	Down	Bangor	3116	29	19	65.5	93	306	54.643046	-5.644264	716522.1179	6060244.83
Ulster	Down	Donaghadee	3151	63	30	47.6	41	280	54.6427	-5.53848	723346.812	6060537.782
Ulster	Down	Downpatrick	4866	136	72	52.9	240	289	54.32882	-5.71573	713544.8645	6025081.656
Ulster	Down	Dromore	2110	5	3	60	193	208	54.41551	-6.14705	685117.6426	6033502.571
Ulster	Down	Newtownards	7621	115	34	29.5	79	113	54.59758	-5.68609	714063.0914	6055060.323
Ulster	Down	Portaferry	2107	0	0	0	0	0	54.38419	-5.54102	724597.8398	6031782.388
Ulster	Down	Rathfriland	2183	0	0	0	0	0	54.23792	-6.1622	684930.2528	6013710.767
Leinster	Dublin	Balbriggan	2929	111	22	19.8	265	319	53.608319	-6.18208	686420.7327	5943635.994
Leinster	Dublin	Blackrock	2372	51	18	35.3	167	331	53.300791	-6.177067	688107.1247	5909448.633
Leinster	Dublin	Bray	3169	176	68	38.6	276	329	53.200903	-6.111074	692952.6985	5898516.304
Leinster	Dublin	Dublin	238531	3813	1664	43.6	58	349	53.349805	-6.26031	682352.2172	5914683.537
Leinster	Dublin	Kingstown	7229	88	37	42	152	303	53.29279	-6.141937	690483.0877	5908651.962
Leinster	Dublin	Ranelagh	2290	0	0	0	0	0	53.326844	-6.257085	682664.9613	5912138.252
Leinster	Dublin	Rathmines	2429	2	1	50	283	298	53.321882	-6.265505	682125.4908	5911564.911
Leinster	Dublin	Skerries	2417	126	45	35.7	252	315	53.580552	-6.107878	691453.9396	5940745.015
Ulster	Fermanagh	Enniskillen	5686	0	0	0	0	0	54.34363	-7.63093	588998.4965	6022619.229
