ID_1	COUNTY	NAME_1	POP	CASES	DEATHS	Cases/Pop	Case_fatal	%_illiterate	%_sick	No_families_per_100_houses	Av_no_persons_to_family
1	Carlow	Carlow	15731	372	189	2364.75748	0.508	36	2.01	112	5.44
2	Cavan	Cavan	8244	0	0	0	0	45	1.24	106	5.44
3	Clare	Clare	19261	578	262	3000.88261	0.4532	60	2.6	116	5.81
4	Cork	Cork	194760	5846	2648	3001.64304	0.4529	60	2.22	114	5.89
5	Donegal	Donegal	5674	0	0	0	0	57	1.08	105	5.45
6	Dublin	Dublin	261366	4367	1855	1670.83706	0.4247	29	1.23	121	5.13
7	Galway	Galway	51993	4452	2099	8562.69113	0.4714	71	1.19	111	5.48
8	Kerry	Kerry	24474	623	364	2545.55855	0.5842	64	2.23	113	6.23
9	Kildare	Kildare	10398	168	58	1615.69532	0.3452	38	1.37	110	5.5
10	Kilkenny	Kilkenny	30296	1159	577	3825.58753	0.4978	46	1.35	107	5.55
11	Queen's	Queen's	11388	13	4	114.155251	0.3076	38	1.8	109	5.33
12	Leitrim	Leitrim	0	0	0	0	0	52	1.39	107	5.54
13	Limerick	Limerick	72414	2054	966	2836.46808	0.4703	51	2.22	115	5.91
14	Longford	Longford	7374	240	145	3254.6786	0.6041	47	2.06	110	5.42
15	Louth	Louth	33721	558	165	1654.75519	0.2956	53	1.37	108	5.08
16	Mayo	Mayo	19192	1076	387	5606.5027	0.3596	74	1.38	106	5.52
17	Meath	Meath	12102	374	177	3090.39828	0.4732	47	1.93	107	5.48
18	Monaghan	Monaghan	9141	130	59	1422.16387	0.4538	42	1.37	107	5.16
19	King's	King's	18612	841	397	4518.59015	0.472	43	1.99	111	5.37
20	Roscommon	Roscommon	12976	472	261	3637.48458	0.5529	59	1.43	108	5.43
21	Sligo	Sligo	14318	392	196	2737.81254	0.5	63	1.22	105	5.51
22	Tipperary	Tipperary	74684	2178	1093	2916.28729	0.5018	47	2	118	5.8
23	Waterford	Waterford	53634	1460	731	2722.15385	0.5006	67	1.41	117	5.89
24	Westmeath	Westmeath	6664	190	109	2851.14045	0.5736	48	1.37	113	5.28
25	Wexford	Wexford	29176	1005	432	3444.61201	0.4298	39	1.87	113	5.42
26	Wicklow	Wicklow	6048	0	0	0	0	0	1.39	110	5.78
27	Antrim	Antrim	2645	179	24	6767.48582	0.134	0	0.89	107	5.32
28	Down	Ards	28478	348	158	1221.99592	0.454	0	0.88	107	5.11
29	Armagh	Armagh	30654	704	271	2296.60077	0.3849	0	1.08	106	5.27
30	Antrim	Ballymena	5549	141	54	2540.99837	0.3829	0	0.89	107	5.32
31	Antrim	Ballymoney	2645	179	24	6767.48582	0.134	0	0.89	107	5.32
32	Down	Banbridge	3324	0	0	0	0	0	0.88	107	5.11
33	Belfast	Belfast	63625	2705	969	4251.47347	0.3582	0	0.87	147	4.81
34	Carrickfergus	Carrickfergus	9379	0	0	0	0	0	0.83	114	5.04
35	Down	Castlereagh	28478	348	158	1221.99592	0.454	0	0.87	107	5.11
36	Derry	Coleraine	6255	3	1	47.96163	0.3333	0	1.46	107	5.37
37	Tyrone	Cookstown	3006	0	0	0	0	0	1.17	106	5.36
38	Armagh	Craigavon	30654	704	271	2296.60077	0.3849	0	1.08	106	5.27
39	Derry	Derry	15150	58	14	382.838283	0.2413	0	1.46	107	5.37
40	Down	Down	28478	348	158	1221.99592	0.454	0	0.88	107	5.11
41	Tyrone	Dungannon	3801	0	0	0	0	0	1.17	106	5.36
42	Fermanagh	Fermanagh	5686	0	0	0	0	0	1.46	109	5.25
43	Antrim	Larne	3345	0	0	0	0	0	0.89	107	5.32
44	Derry	Limavady	3101	2	2	64.495324	1	0	1.46	107	5.37
45	Antrim	Lisburn	7524	565	196	7509.30356	0.3469	0	0.89	107	5.32
46	Derry	Magherafelt	24506	63	17	257.079898	0.2698	0	1.46	107	5.37
47	Antrim	Moyle	92067	3590	1243	3899.33418	0.3462	0	0.89	107	5.32
48	Down	Mourne	28478	348	158	1221.99592	0.454	0	0.88	107	5.11
49	Antrim	Newtownabbey	92067	3590	1243	3899.33418	0.3462	0	0.89	107	5.32
50	Down	North_Down	28478	348	158	1221.99592	0.454	0	0.88	107	5.11
51	Tyrone	Omagh	2947	0	0	0	0	0	1.17	106	5.36
52	Tyrone	Strabane	4704	0	0	0	0	0	1.17	106	5.36
