ID_1	NAME_1	POP	CASES	DEATHS	Cases/Pop	Case_fatal
1	Carlow	15731	372	189	2364.75748	0.508
2	Cavan	8244	0	0	0	0
3	Clare	19261	578	262	3000.88261	0.4532
4	Cork	194760	5846	2648	3001.64304	0.4529
5	Donegal	5674	0	0	0	0
6	Dublin	261366	4367	1855	1670.83706	0.4247
7	Galway	51993	4452	2099	8562.69113	0.4714
8	Kerry	24474	623	364	2545.55855	0.5842
9	Kildare	10398	168	58	1615.69532	0.3452
10	Kilkenny	30296	1159	577	3825.58753	0.4978
11	Laoighis	11388	13	4	114.155251	0.3076
12	Leitrim	0	0	0	0	0
13	Limerick	72414	2054	966	2836.46808	0.4703
14	Longford	7374	240	145	3254.6786	0.6041
15	Louth	33721	558	165	1654.75519	0.2956
16	Mayo	19192	1076	387	5606.5027	0.3596
17	Meath	12102	374	177	3090.39828	0.4732
18	Monaghan	9141	130	59	1422.16387	0.4538
19	Offaly	18612	841	397	4518.59015	0.472
20	Roscommon	12976	472	261	3637.48458	0.5529
21	Sligo	14318	392	196	2737.81254	0.5
22	Tipperary	74684	2178	1093	2916.28729	0.5018
23	Waterford	53634	1460	731	2722.15385	0.5006
24	Westmeath	6664	190	109	2851.14045	0.5736
25	Wexford	29176	1005	432	3444.61201	0.4298
26	Wicklow	6048	0	0	0	0
27	Antrim	2645	179	24	6767.48582	0.134
28	Ards	28478	348	158	1221.99592	0.454
29	Armagh	30654	704	271	2296.60077	0.3849
30	Ballymena	5549	141	54	2540.99837	0.3829
31	Ballymoney	2645	179	24	6767.48582	0.134
32	Banbridge	3324	0	0	0	0
33	Belfast	63625	2705	969	4251.47347	0.3582
34	Carrickfergus	9379	0	0	0	0
35	Castlereagh	28478	348	158	1221.99592	0.454
36	Coleraine	6255	3	1	47.96163	0.3333
37	Cookstown	3006	0	0	0	0
38	Craigavon	30654	704	271	2296.60077	0.3849
39	Derry	15150	58	14	382.838283	0.2413
40	Down	28478	348	158	1221.99592	0.454
41	Dungannon	3801	0	0	0	0
42	Fermanagh	5686	0	0	0	0
43	Larne	3345	0	0	0	0
44	Limavady	3101	2	2	64.495324	1
45	Lisburn	7524	565	196	7509.30356	0.3469
46	Magherafelt	24506	63	17	257.079898	0.2698
47	Moyle	92067	3590	1243	3899.33418	0.3462
48	Mourne	28478	348	158	1221.99592	0.454
49	Newtownabbey	92067	3590	1243	3899.33418	0.3462
50	North_Down	28478	348	158	1221.99592	0.454
51	Omagh	2947	0	0	0	0
52	Strabane	4704	0	0	0	0
