ID_1	NAME_1	POP	CASES	DEATHS	MORT	%_illiterate	%_sick	No_families_per_100_houses	Av_no_persons_to_family	No_persons_sq_mile	%_4th_class_houses	%_families_in_4th_class_houses	%_decrease_pop_1941-51	Relief_food_tons_46-48	Relief_money_sterling_46-48	Relief_seed_pounds_46-48
26	Wicklow	9217	176	68	38.63636364	38	1.39	110	5.78	127	11.4	11.5	-21.53	27	106	0
25	Wexford	29176	1005	432	42.98507463	39	1.87	113	5.42	200	9.7	9.3	-10.83	50	240	676
24	Westmeath	6664	190	109	57.36842105	48	1.37	113	5.28	157	13.8	13.7	-21.16	46	96	1883
23	Waterford	53634	1460	731	50.06849315	67	1.41	117	5.89	193	9.9	9.8	-19.79	154	474	0
22	Tipperary	74684	2178	1093	50.18365473	47	2	118	5.8	200	16.9	16.7	-23.87	290	2008	3243
21	Sligo	14318	392	196	50	63	1.22	105	5.51	178	17.4	17.2	-28.95	172	702	7806
20	Roscommon	12976	472	261	55.29661017	59	1.43	108	5.43	183	17.1	16.8	-31.61	397	708	11595
19	King's	18612	841	397	47.20570749	43	1.99	111	5.37	145	11.1	11	-23.68	87	175	4380
18	Monaghan	9141	130	59	45.38461538	42	1.37	107	5.16	284	7.3	7.2	-29.24	74	243	675
17	Meath	12102	374	177	47.32620321	47	1.93	107	5.48	155	21.5	21.7	-23.43	13	15	0
16	Mayo	21448	1076	387	35.96654275	74	1.38	106	5.52	129	21.4	21.1	29.41	696	2309	54172
15	Louth	33721	558	165	29.56989247	53	1.37	108	5.08	288	15	14.8	-18.9	22	5	0
14	Longford	7374	240	145	60.41666667	47	2.06	110	5.42	196	12	12.1	-28.7	8	24	148
13	Limerick	72414	2054	966	47.030185	51	2.22	115	5.91	197	24.2	24.9	-25.9	333	1185	1671
12	Leitrim	1	0	0	0	52	1.39	107	5.54	183	15.9	15.6	-27.95	126	425	8527
11	Queen's	11388	13	4	30.76923077	38	1.8	109	5.33	168	15	15	-27.46	45	165	220
10	Kilkenny	30296	1159	577	49.78429681	46	1.35	107	5.55	175	10.9	10.8	-24.31	35	197	446
9	Kildare	10398	168	58	34.52380952	38	1.37	110	5.5	146	16.8	16.9	-16.39	15	45	526
8	Kerry	24474	623	364	58.42696629	64	2.23	113	6.23	129	32.8	31.6	-18.93	835	937	2250
7	Galway	51993	4452	2099	47.14734951	71	1.19	111	5.48	122	19.1	18.5	-29.56	901	1140	24074
6	Dublin	258197	4191	1787	42.63898831	29	1.23	121	5.13	422	6.2	5.5	4.81	61	612	280
5	Donegal	5674	0	0	0	57	1.08	105	5.45	137	10.6	10.4	-13.93	400	1429	10149
4	Cork	194760	5846	2648	45.29592884	60	2.22	114	5.89	156	19.2	18.5	-27.13	1866	4490	24827
3	Clare	19261	578	262	45.32871972	60	2.6	116	5.81	164	16.4	16.3	-25.82	541	993	1933
2	Cavan	8244	0	0	0	45	1.24	106	5.44	233	12	12	-28.42	123	172	1096
1	Carlow	15731	372	189	50.80645161	36	2.01	112	5.44	197	11.8	11.8	-21.05	34	85	62
32	Tyrone	14458	0	0	0	38	1.17	106	5.36	203	6	5.9	-18.31	104	382	380
31	Fermangh	5686	0	0	0	39	1.46	109	5.25	162	11	10.8	-25.84	114	316	7409
30	Down	28478	348	158	45.40229885	24	0.88	107	5.11	336	3.6	3.5	-11.24	35	144	0
29	Derry	24506	63	17	26.98412698	29	1.46	107	5.37	237	4.7	4.6	-13.57	135	197	0
28	Armagh	30654	704	271	38.49431818	39	1.08	106	5.27	383	9.1	8.9	-15.62	53	248	516
27	Antrim	92067	3590	1243	34.62395543	20	0.89	107	5.32	216	3.6	3.5	-8.98	40	300	0
