Province	County	Town	Pop	Cases	Deaths	Mortality	Date.of.first	Date.of.last	Day.of.first	Day.of.last	LAT	LONG	Case.per.pop
Ulster	Antrim	Antrim	2645	179	24	13.4	"February 26, 1849"	"May 16, 1849"	85	164	54.71363	-6.21428	6767.485822
Ulster	Antrim	Ballymena	5549	141	54	38.3	"March 19, 1849"	"April 24, 1849"	106	142	54.86538	-6.28038	2540.998378
Ulster	Antrim	Belfast	63625	2705	969	35.8	"December 4, 1848"	"December 12, 1849"	1	374	54.597285	-5.93012	4251.473477
Ulster	Antrim	Carrickfergus	9379	0	0	0	0	0	0	0	54.71373	-5.80818	0
Ulster	Antrim	Larne	3345	0	0	0	0	0	0	0	54.8575	-5.80986	0
Ulster	Antrim	Lisburn	7524	565	196	34.6	"January 24, 1849"	"June 27, 1849"	52	206	54.50972	-6.0374	7509.303562
Ulster	Armagh	Armagh	10245	154	73	4.74	"February 27, 1849"	"May 2, 1849"	86	150	54.34875	-6.65161	1503.172279
Ulster	Armagh	Lurgan	4677	369	116	31.4	"March 28, 1849"	"September 7, 1849"	115	278	54.4648	-6.33602	7889.672867
Ulster	Armagh	Newry	13227	139	62	44.6	"February 19, 1849"	"July 9, 1849"	78	218	54.18006	-6.33393	1050.880774
Ulster	Armagh	Portadown	2505	42	20	47.3	"January 29, 1849"	"August 29, 1849"	57	269	54.42193	-6.45129	1676.646707
Leinster	Carlow	Bagnalstown	2225	39	22	56.3	"August 17, 1849"	"March 29, 1850"	257	481	52.703111	-6.955868	1752.808989
Leinster	Carlow	Carlow	10409	333	167	50.1	"July 17, 1849"	"September 19, 1849"	226	290	52.718975	-6.85037	3199.154578
Leinster	Carlow	Tullow	3097	0	0	0	0	0	0	0	52.802547	-6.737152	0
Ulster	Cavan	Belturbet	2070	0	0	0	0	0	0	0	54.101906	-7.449668	0
Ulster	Cavan	Cavan	3749	0	0	0	0	0	0	0	53.990605	-7.362941	0
Ulster	Cavan	Cootehill	2425	0	0	0	0	0	0	0	54.07373	-7.075739	0
Munster	Clare	Ennis	9318	144	53	36.8	"March 16, 1849"	"April 9, 1849"	103	127	52.847425	-8.988738	1545.396008
Munster	Clare	Ennistymon	2089	138	73	52.9	"April 1, 1849"	"May 26, 1849"	119	174	52.940372	-9.293495	6606.031594
Munster	Clare	Killaloe	2783	33	23	69.7	"March 20, 1849"	"May 3, 1849"	107	151	52.808886	-8.447515	1185.770751
Munster	Clare	Kilrush	5071	263	113	42.9	"March 9, 1849"	"May 12, 1849"	96	160	52.6407	-9.485937	5186.353776
Munster	Cork	Bandon	8275	361	159	44	"May 15, 1849"	"August 31, 1849"	163	271	51.746124	-8.731817	4362.537764
Munster	Cork	Bantry	4082	185	82	54.3	"May 27, 1849"	"August 23, 1849"	175	263	51.680892	-9.448603	4532.092112
Munster	Cork	Charleville	4287	40	19	47.5	"March 16, 1849"	"May 1, 1849"	103	149	52.354908	-8.683177	933.0534173
Munster	Cork	Clonakilty	3993	0	0	0	0	0	0	0	51.621506	-8.8887	0
Munster	Cork	Cloyne	2200	32	16	50	"May 25, 1849"	"June 19, 1849"	173	198	51.863097	-8.121237	1454.545455
Munster	Cork	Cork	106055	3176	1329	41.8	"March 2, 1849"	"September 17, 1849"	89	288	51.896892	-8.486316	2994.672576
Munster	Cork	Cove	5142	301	115	38.2	"May 8, 1849"	"June 25, 1849"	156	204	51.850336	-8.294286	5853.753403
Munster	Cork	Doneraile	2722	13	10	77	"April 13, 1849"	"May 8, 1849"	131	156	52.215173	-8.585977	477.5900073
Munster	Cork	Dunmanway	3086	0	0	0	0	0	0	0	51.722257	-9.111809	0
Munster	Cork	Fermoy	6379	0	0	0	0	0	0	0	52.139361	-8.275561	0
Munster	Cork	Kanturk	4388	2	1	50	"April 6, 1849"	"Apri 11, 1849"	0	0	52.177255	-8.905167	45.57885141
Munster	Cork	Kinsale	6918	825	447	54.1	"April 30, 1849"	"June 23, 1849"	148	202	51.70605	-8.522501	11925.41197
Munster	Cork	Macroom	4794	77	42	54.5	"April 11, 1849"	"May 31, 1849"	129	179	51.904804	-8.958848	1606.174385
Munster	Cork	Mallow	6851	287	144	50.1	"April 16, 1849"	"June 16, 1849"	134	195	52.138976	-8.653916	4189.169464
Munster	Cork	Midleton	4591	285	146	51.2	"April 6, 1849"	"November 30, 1849"	124	362	51.913713	-8.172236	6207.797865
Munster	Cork	Millstreet	2162	0	0	0	0	0	0	0	52.060132	-9.064712	0
Munster	Cork	Mitchelstown	4181	1	0	0	"April 29, 1849"	"May 1, 1849"	147	149	52.266213	-8.269886	23.91772303
Munster	Cork	Skibbereen	4715	112	48	42.8	"May 16, 1849"	"June 8, 1849"	164	187	51.555924	-9.26213	2375.397667
Munster	Cork	Youghal	9939	149	90	60.4	"May 2, 1849"	"June 16, 1849"	150	195	51.95427	-7.847171	1499.144783
Ulster	Donegal	Ballyshannon	3513	0	0	0	0	0	0	0	54.502988	-8.192042	0
Ulster	Donegal	Letterkenny	2161	0	0	0	0	0	0	0	54.955839	-7.734279	0
Ulster	Down	Banbridge	3324	0	0	0	0	0	0	0	54.34897	-6.26978	0
Ulster	Down	Bangor	3116	29	19	65.5	"March 6, 1849"	"October 5, 1849"	93	306	54.643046	-5.644264	930.6803594
Ulster	Down	Donaghadee	3151	63	30	47.6	"January 13, 1849"	"September 9, 1849"	41	280	54.6427	-5.53848	1999.365281
Ulster	Down	Downpatrick	4866	136	72	52.9	"July 31, 1849"	"September 18, 1849"	240	289	54.32882	-5.71573	2794.903411
Ulster	Down	Dromore	2110	5	3	60	"June 14, 1849"	"June 29, 1849"	193	208	54.41551	-6.14705	236.9668246
Ulster	Down	Newtownards	7621	115	34	29.5	"February 20, 1849"	"March 26, 1849"	79	113	54.59758	-5.68609	1508.988322
Ulster	Down	Portaferry	2107	0	0	0	0	0	0	0	54.38419	-5.54102	0
Ulster	Down	Rathfriland	2183	0	0	0	0	0	0	0	54.23792	-6.1622	0
Leinster	Dublin	Balbriggan	2929	111	22	19.8	"August 25, 1849"	"October 18, 1849"	265	319	53.608319	-6.18208	3789.689314
Leinster	Dublin	Blackrock	2372	51	18	35.3	"May 19, 1849"	"October 30, 1849"	167	331	53.300791	-6.177067	2150.084317
Leinster	Dublin	Bray	3169	176	68	38.6	"September 5, 1849"	"October 28, 1849"	276	329	53.200903	-6.111074	5553.802461
